nm_Kit_ID,Easting,Northing,nm_Sampling_Date,fht_eDNA_survey_date,datecomp,fht_Site_comb,nm_Pond_Name,namedist,fht_Site_number,fht_Site_Name,Company,Sampler_Name,Sampling_DateTime,Arrival_Date,num_tubes,Damaged_tubes,Liquid_in_bag,Tubes_labelled,Tubes_filled,Additional_notes,Lab_work_Started,IPC_Positive_out_of_12,GCN_Positive_out_of_12,GCN_Status,GCN_Square,Site_number_CHECK,Surveyor,1_km_square,Grid_reference,eDNA_score,GCN_test_result,Positive_no_kit,Kit_negative,Newt_Positive_sites,Newt_Negative_sites,HSI1_Pond_location,HSI2_Pond_area,HSI3_Pond_drying,HSI4_Water_quality,HSI5_Shade,HSI6_Waterfowl,HSI7_Fish,HSI8_Pond_count,HSI9_Terrestrial_habitat,HSI10_Macrophytes,DIMITRIOS_HSI,NO_HSI_REASON,SITE_FROM_DIMITRIOS,Inflow_present,Outflow_present,Nitrate,Phosphate,Clean,N,P
FHT563,515118,252204,2017-05-23 00:00,2017-05-23 00:00,MATCH,556 Grange Road,556- 115 Grange Road,0.161111111,556,Grange Road,Freshwater Habitats Trust,HJ,NA,2017-06-08 00:00,6,No,No,Yes,Yes,NA,2017-06-08 00:00,12,0,Negative,negative,556,Hanna,TL1552,TL1511852204,0,Negative,FALSE,TRUE,NA,Negative,1,525,1,2,1,2,3,6,2,0,0.648715276,NA,556,N,N,<0.2,<0.02,2,0.1,0.01
FHT1090,500961,265223,2017-06-11 00:00,NA,NA,852 852 - S. Yeldon nr. Red Barn,852 - S. Yeldon nr. Red Barn,0.160714286,852,852 - S. Yeldon nr. Red Barn,Freshwater Habitats Trust,PJW,2017-06-11 09:00,2017-06-26 00:00,6,No,No,Yes,Yes,NA,2017-06-29 00:00,1,2,Positive,negative,NA,PJW,TL0065,TL0096165223,2,Positive,FALSE,FALSE,NA,Positive,1,240,3,3,70,3,4,4,2,30,0.687988811,NA,892,n,n,<0.2,0.05-0.1,1,0.1,0.075
FHT732,455986,206666,2017-06-03 00:00,2017-06-03 00:00,MATCH,753 753 Henry Stephen Main,753 Henry Stephen Main,0.157342657,753,753 Henry Stephen Main,Freshwater Habitats Trust,JB,2017-06-03 13:00,2017-06-16 00:00,6,No,No,Yes,Yes,NA,2017-06-22 00:00,12,0,Negative,negative,753,JB,SP5506,SP5598606666,0,Negative,FALSE,TRUE,NA,Negative,1,2800,1,3,100,3,2,7,3,50,0.648321039,NA,752,Y,Y,<0.2,0.2-0.5,1,0.1,0.35
FHT433,486890,219147,2017-05-24 00:00,2017-05-24 00:00,MATCH,68 MANOR FARM POND,68 Manor Farm Pond (SP86890 19147),0.156862745,68,MANOR FARM POND,Freshwater Habitats Trust,AH,2017-05-24 14:30,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-01 00:00,12,1,Positive,positive,68,Adrianna,SP8619,SP8689019147,1,Positive,FALSE,FALSE,Positive,NA,1,1070,1,4,40,2,3,4,2,40,0.774948702,NA,68,N,N,<0.2,0.1-0.2,1,0.1,0.15
FHT441,471814,234336,2017-06-07 00:00,2017-06-07 00:00,MATCH,329 OLD MILL HOUSE,329 Old Mill House (SP 7181434336),0.156862745,329,OLD MILL HOUSE,Freshwater Habitats Trust,AH,2017-06-07 19:00,2017-06-16 00:00,6,No,No,Yes,Yes,NA,2017-06-20 00:00,12,0,Negative,negative,329,Adrianna,SP7134,SP7181434336,0,Negative,FALSE,TRUE,NA,Negative,1,450,1,4,70,2,3,0,4,30,0.526872132,NA,329,N,N,0.5-1,0.1-0.2,0,0.75,0.15
FHT449,465245,217118,2017-06-09 00:00,2017-06-09 00:00,MATCH,515 EASTFIELD FARM,515 Eastfield Farm (SP 6524517118),0.156862745,515,EASTFIELD FARM,Freshwater Habitats Trust,AH,2017-06-09 15:30,2017-06-16 00:00,6,No,No,Yes,Yes,NA,2017-06-20 00:00,12,1,Positive,negative,515,Adrianna,SP6517,SP6524517118,1,Positive,FALSE,FALSE,NA,Positive,1,400,2,3,90,3,3,4,3,5,0.704966523,NA,515,N,N,<0.2,0.1-0.2,1,0.1,0.15
FHT1086,504964,261169,2017-06-12 00:00,NA,NA,82 82 - Bedford Autodrome East,82 - Bedford Autodrome East,0.156790123,82,82 - Bedford Autodrome East,Freshwater Habitats Trust,PSW,2017-06-12 13:00,2017-06-26 00:00,6,No,No,Yes,Yes,NA,2017-07-10 00:00,12,0,Negative,positive,NA,PSW,TL0461,TL0496461169,0,Negative,FALSE,TRUE,Negative,NA,1,2180,4,4,4,3,4,2,3,90,0.68470776,NA,NA,N,N,<0.2,<0.02,NA,0.1,0.01
FHT890,472217,188819,2017-06-10 00:00,2017-06-10 00:00,MATCH,952 Maidensgrove Roadside,Maidensgrove Roadside,0.156507937,952,Maidensgrove Roadside,Freshwater Habitats Trust,Jeremy,2017-06-10 13:00,2017-06-26 00:00,6,No,No,Yes,Yes,NA,2017-06-27 00:00,12,0,Negative,negative,952,Jeremy,SU7288,SU7221788819,0,Negative,FALSE,TRUE,NA,Negative,1,150,3,2,100,3,3,4,4,1,0.531260316,NA,952,N,N,0.5-1,1+,0,0.75,1.1
FHT394,467439,215547,2017-05-17 00:00,2017-05-17 00:00,MATCH,417 TRAMWAYS FARM,417 Tramways Farm (SP6743915547),0.15625,417,TRAMWAYS FARM,Freshwater Habitats Trust,AH,2017-05-17 13:30,2017-05-25 00:00,6,No,Yes,Yes,Yes,NA,2017-05-26 00:00,12,11,Positive,negative,417,Adrianna,SP6715,SP6743915547,11,Positive,FALSE,FALSE,NA,Positive,1,150,2,4,80,3,3,3,4,40,0.751441932,NA,417,N,Y,<0.2,0.05-0.1,1,0.1,0.075
FHT1073,503056,239011,2017-06-22 00:00,2017-06-22 00:00,MATCH,547 Ampthill Corner Woodland,547 - Ampthill Corner Woodland Pond,0.155952381,547,Ampthill Corner Woodland,Freshwater Habitats Trust,HW,2017-06-22 08:30,2017-07-03 00:00,6,No,No,Yes,Yes,NA,2017-07-05 00:00,12,0,Negative,negative,547,Hannah,TL0339,TL0305639011,0,Negative,FALSE,TRUE,NA,Negative,1,99,2,1,40,2,4,6,2,0,0.409518946,NA,547,N,N,<0.2,1+,1,0.1,1.1
